popularity,count
0,16020
1,2140
2,1036
3,585
4,389
5,599
6,426
7,465
8,544
9,525
10,733
11,797
12,810
13,695
14,544
15,601
16,972
17,1119
18,1455
19,1612
20,2110
21,2344
22,2354
23,2117
24,1829
25,1603
26,1651
27,1518
28,1494
29,1400
30,1269
31,1202
32,1315
33,1309
34,1409
35,1460
36,1525
37,1683
38,1891
39,1863
40,1913
41,1996
42,1871
43,2073
44,2288
45,2004
46,1906
47,1807
48,1722
49,1640
50,1597
51,1516
52,1473
53,1351
54,1438
55,1447
56,1540
57,1456
58,1396
59,1331
60,1252
61,1055
62,1080
63,1028
64,930
65,952
66,893
67,826
68,702
69,632
70,626
71,576
72,485
73,467
74,487
75,417
76,393
77,314
78,254
79,252
80,247
81,165
82,158
83,156
84,103
85,101
86,53
87,49
88,44
89,27
90,30
91,10
92,9
93,12
94,7
95,5
96,7
97,8
98,7
99,1
100,2
