genre,valence,energy,mean_popularity
acoustic,0.424,0.435,42.483
afrobeat,0.698,0.703,24.407
alt-rock,0.518,0.754,33.897
alternative,0.477,0.685,22.219
ambient,0.167,0.237,44.208
anime,0.435,0.674,48.777
black-metal,0.192,0.875,22.432
bluegrass,0.635,0.53,25.681
blues,0.607,0.577,31.179
brazil,0.461,0.612,44.646
breakbeat,0.475,0.853,20.172
british,0.435,0.502,44.769
cantopop,0.393,0.462,34.754
chicago-house,0.587,0.733,12.334
children,0.694,0.493,34.856
chill,0.408,0.43,53.739
classical,0.392,0.197,13.362
club,0.369,0.723,33.354
comedy,0.453,0.701,24.613
country,0.513,0.592,17.346
dance,0.553,0.707,23.719
dancehall,0.632,0.688,34.955
death-metal,0.25,0.932,32.503
deep-house,0.447,0.741,45.573
detroit-techno,0.469,0.708,11.131
disco,0.679,0.735,33.999
disney,0.369,0.303,27.488
drum-and-bass,0.317,0.876,26.738
dub,0.373,0.712,40.326
dubstep,0.255,0.77,39.104
edm,0.462,0.752,40.439
electro,0.457,0.61,34.331
electronic,0.396,0.691,44.235
emo,0.441,0.668,48.5
folk,0.488,0.558,40.164
forro,0.76,0.79,41.832
french,0.435,0.595,41.09
funk,0.607,0.613,34.314
garage,0.522,0.744,40.612
german,0.387,0.567,32.349
gospel,0.33,0.575,39.595
goth,0.454,0.731,29.017
grindcore,0.217,0.926,14.522
groove,0.405,0.733,35.524
grunge,0.401,0.805,50.587
guitar,0.451,0.339,29.374
happy,0.328,0.911,21.69
hard-rock,0.51,0.807,45.745
hardcore,0.519,0.839,37.013
hardstyle,0.31,0.899,28.184
heavy-metal,0.388,0.874,26.184
hip-hop,0.553,0.695,42.43
honky-tonk,0.633,0.367,16.411
house,0.528,0.736,32.09
idm,0.303,0.556,15.522
indian,0.448,0.555,49.765
indie,0.492,0.641,34.351
indie-pop,0.472,0.554,39.561
industrial,0.432,0.855,32.467
iranian,0.153,0.545,2.225
j-dance,0.574,0.707,25.401
j-idol,0.577,0.868,24.616
j-pop,0.544,0.641,37.185
j-rock,0.555,0.727,36.898
jazz,0.487,0.309,9.79
k-pop,0.569,0.683,59.359
kids,0.682,0.614,14.771
latin,0.624,0.724,9.855
latino,0.622,0.712,51.789
malay,0.501,0.576,30.172
mandopop,0.353,0.509,45.071
metal,0.425,0.841,56.422
metalcore,0.329,0.902,44.709
minimal-techno,0.284,0.683,33.284
mpb,0.553,0.564,40.965
new-age,0.182,0.213,29.047
opera,0.212,0.295,24.372
pagode,0.697,0.712,45.586
party,0.676,0.869,22.055
piano,0.325,0.342,46.608
pop,0.477,0.579,41.945
pop-film,0.529,0.6,59.097
power-pop,0.616,0.804,27.082
progressive-house,0.356,0.822,46.538
psych-rock,0.559,0.551,39.589
punk,0.554,0.776,41.885
punk-rock,0.596,0.805,39.465
r-n-b,0.652,0.589,39.603
reggae,0.66,0.699,24.832
reggaeton,0.674,0.737,48.27
rock,0.478,0.648,18.178
rock-n-roll,0.662,0.512,36.699
rockabilly,0.738,0.679,27.992
romance,0.395,0.299,3.55
sad,0.44,0.479,51.11
salsa,0.814,0.724,28.109
samba,0.705,0.694,37.655
sertanejo,0.613,0.702,47.861
show-tunes,0.384,0.404,31.212
singer-songwriter,0.371,0.417,43.592
ska,0.719,0.796,35.717
sleep,0.058,0.343,35.042
soul,0.501,0.552,26.616
spanish,0.547,0.706,39.899
study,0.403,0.411,26.128
swedish,0.544,0.617,36.493
synth-pop,0.576,0.717,35.526
tango,0.584,0.373,19.867
techno,0.334,0.777,40.06
trance,0.256,0.845,38.551
trip-hop,0.479,0.622,34.386
turkish,0.464,0.62,40.508
world-music,0.251,0.535,41.536
