danceability_bin,energy_bin,valence_bin,acousticness_bin,tempo_bin,popularity
0,0,0,0,0,37.92307692307692
0,0,0,0,2,33.5
0,0,0,0,3,28.714285714285715
0,0,0,0,6,0.0
0,0,0,1,0,37.53333333333333
0,0,0,1,2,80.0
0,0,0,1,3,26.0
0,0,0,1,6,67.0
0,0,0,2,0,35.25
0,0,0,2,2,9.0
0,0,0,3,0,45.5
0,0,0,3,2,8.0
0,0,0,4,2,15.0
0,0,0,5,0,34.0
0,0,0,5,2,14.0
0,0,0,5,6,23.0
0,0,0,6,0,41.5
0,0,0,6,2,49.0
0,0,0,6,7,0.0
0,0,0,7,0,37.8
0,0,0,7,2,56.0
0,0,0,7,3,31.0
0,0,0,8,0,33.75
0,0,0,8,1,22.0
0,0,0,8,2,43.42857142857143
0,0,0,8,3,22.666666666666668
0,0,0,8,7,42.0
0,0,0,8,8,26.0
0,0,0,9,0,36.977777777777774
0,0,0,9,2,33.483870967741936
0,0,0,9,3,33.76470588235294
0,0,0,9,6,43.25
0,0,0,9,7,29.416666666666668
0,0,0,9,8,0.0
0,0,1,8,2,44.0
0,0,1,9,2,64.0
0,0,1,9,3,65.5
0,0,1,9,6,24.0
0,0,1,9,7,22.0
0,0,2,9,3,55.0
0,0,3,9,3,21.0
0,0,9,9,3,0.0
0,1,0,0,0,38.0
0,1,0,0,2,53.0
0,1,0,0,3,0.0
0,1,0,1,0,30.0
0,1,0,1,2,6.0
0,1,0,2,0,34.0
0,1,0,2,3,1.0
0,1,0,3,0,33.0
0,1,0,4,2,7.0
0,1,0,4,3,7.0
0,1,0,5,2,16.0
0,1,0,5,3,7.0
0,1,0,5,6,10.0
0,1,0,5,7,6.0
0,1,0,6,2,41.0
0,1,0,6,3,21.5
0,1,0,6,7,0.5
0,1,0,7,2,27.5
0,1,0,7,3,21.571428571428573
0,1,0,8,2,12.6
0,1,0,8,3,30.25
0,1,0,8,6,0.0
0,1,0,8,7,45.0
0,1,0,9,0,30.0
0,1,0,9,2,20.235294117647058
0,1,0,9,3,15.333333333333334
0,1,0,9,6,24.0
0,1,0,9,7,22.333333333333332
0,1,1,7,3,57.0
0,1,1,8,2,7.0
0,1,1,8,3,52.0
0,1,1,8,6,46.0
0,1,2,9,3,0.0
0,2,0,0,2,28.5
0,2,0,0,3,33.5
0,2,0,1,0,22.0
0,2,0,1,3,10.0
0,2,0,1,8,19.0
0,2,0,2,3,20.0
0,2,0,3,2,15.0
0,2,0,3,7,30.0
0,2,0,4,2,24.0
0,2,0,5,3,34.0
0,2,0,6,2,20.6
0,2,0,6,3,3.5
0,2,0,7,0,51.0
0,2,0,7,2,33.0
0,2,0,7,3,25.6
0,2,0,8,2,29.0
0,2,0,8,3,25.25
0,2,0,9,0,0.0
0,2,0,9,2,15.5
0,2,0,9,3,37.0
0,2,0,9,7,20.0
0,3,0,0,2,14.0
0,3,0,0,3,28.625
0,3,0,0,7,0.0
0,3,0,1,0,61.0
0,3,0,1,2,65.0
0,3,0,1,3,18.5
0,3,0,2,2,0.0
0,3,0,2,3,7.0
0,3,0,6,0,37.0
0,3,0,7,0,35.5
0,3,0,7,2,19.0
0,3,0,7,3,22.142857142857142
0,3,0,8,2,11.5
0,3,0,8,3,18.166666666666668
0,3,0,9,2,6.0
0,3,0,9,6,22.5
0,3,1,0,3,18.0
0,3,1,1,6,11.0
0,3,1,4,2,0.0
0,3,1,8,3,24.0
0,3,2,5,3,23.0
0,4,0,0,0,36.0
0,4,0,0,2,33.0
0,4,0,0,3,0.0
0,4,0,1,0,43.5
0,4,0,1,2,11.0
0,4,0,1,3,0.0
0,4,0,2,2,18.0
0,4,0,4,0,33.0
0,4,0,7,2,31.0
0,4,0,7,3,33.5
0,4,0,7,7,11.0
0,4,0,8,0,55.5
0,4,0,8,2,1.0
0,4,0,8,3,46.0
0,4,0,9,0,33.0
0,4,0,9,2,35.333333333333336
0,4,1,0,7,17.0
0,4,3,1,7,17.0
0,5,0,0,2,7.0
0,5,0,0,3,34.0
0,5,0,2,0,32.0
0,5,0,4,3,38.0
0,5,0,5,3,38.0
0,5,0,6,2,0.0
0,5,0,7,2,1.0
0,5,0,7,3,50.0
0,5,0,8,0,0.0
0,5,0,8,2,6.0
0,5,0,8,6,38.0
0,6,0,0,2,33.0
0,6,0,0,3,17.25
0,6,0,1,0,42.0
0,6,0,1,3,0.0
0,6,0,7,0,48.0
0,6,0,9,0,36.0
0,6,0,9,7,0.0
0,6,1,4,2,0.0
0,7,0,0,2,18.0
0,7,0,0,7,0.0
0,7,0,4,3,0.0
0,7,0,9,3,0.0
0,7,1,0,3,25.5
0,7,1,0,8,13.0
0,7,2,0,7,17.0
0,7,3,0,7,0.0
0,8,0,0,3,38.0
0,8,0,0,6,20.0
0,8,0,0,7,26.6
0,8,0,1,7,33.0
0,8,0,8,7,34.0
0,8,0,9,0,44.0
0,8,1,0,3,12.333333333333334
0,8,1,0,6,17.0
0,8,2,0,3,19.0
0,8,3,0,3,18.0
0,8,3,0,7,15.0
0,8,4,0,8,12.0
0,9,0,0,2,22.333333333333332
0,9,0,0,3,23.75
0,9,0,0,6,18.8
0,9,0,0,7,16.90909090909091
0,9,0,0,8,13.0
0,9,0,1,0,40.6
0,9,0,1,2,37.0
0,9,0,1,3,0.0
0,9,0,1,6,33.0
0,9,0,1,7,36.666666666666664
0,9,0,2,3,39.0
0,9,0,3,0,32.0
0,9,0,3,3,38.0
0,9,0,3,6,0.0
0,9,0,4,3,34.0
0,9,0,6,7,33.0
0,9,0,7,3,40.5
0,9,0,7,7,44.0
0,9,0,8,2,22.0
0,9,0,9,0,33.0
0,9,0,9,3,28.25
0,9,1,0,6,18.0
0,9,1,0,7,18.285714285714285
0,9,1,0,8,19.5
0,9,2,0,7,17.0
0,9,2,0,8,22.5
0,9,5,0,7,23.0
1,0,0,0,2,41.0
1,0,0,0,3,37.5
1,0,0,0,5,22.0
1,0,0,1,2,34.0
1,0,0,1,3,33.0
1,0,0,1,4,33.0
1,0,0,1,5,36.0
1,0,0,2,2,30.0
1,0,0,2,3,32.0
1,0,0,3,4,0.0
1,0,0,4,2,59.0
1,0,0,4,3,45.0
1,0,0,4,5,34.0
1,0,0,5,1,0.0
1,0,0,5,3,56.0
1,0,0,5,5,60.0
1,0,0,6,2,20.0
1,0,0,6,3,28.5
1,0,0,6,5,4.0
1,0,0,6,6,32.0
1,0,0,7,2,44.166666666666664
1,0,0,7,3,25.88888888888889
1,0,0,7,4,57.5
1,0,0,7,5,34.42857142857143
1,0,0,7,6,22.6
1,0,0,8,2,42.30769230769231
1,0,0,8,3,34.65217391304348
1,0,0,8,4,35.916666666666664
1,0,0,8,5,31.235294117647058
1,0,0,8,6,30.0
1,0,0,8,7,0.0
1,0,0,9,1,36.5
1,0,0,9,2,37.728155339805824
1,0,0,9,3,28.65714285714286
1,0,0,9,4,28.333333333333332
1,0,0,9,5,35.794117647058826
1,0,0,9,6,20.692307692307693
1,0,0,9,7,27.75
1,0,0,9,8,37.0
1,0,1,6,2,55.0
1,0,1,6,3,2.0
1,0,1,6,5,1.0
1,0,1,7,3,10.0
1,0,1,7,4,27.0
1,0,1,8,1,55.0
1,0,1,8,2,20.0
1,0,1,8,3,42.0
1,0,1,8,4,1.0
1,0,1,8,5,39.0
1,0,1,9,2,51.666666666666664
1,0,1,9,3,36.18181818181818
1,0,1,9,4,17.5
1,0,1,9,5,22.75
1,0,1,9,6,28.25
1,0,1,9,7,60.75
1,0,1,9,8,56.0
1,0,2,6,7,15.0
1,0,2,8,2,59.0
1,0,2,9,3,18.625
1,0,2,9,5,52.0
1,0,2,9,6,59.0
1,0,2,9,7,21.0
1,0,3,8,3,27.0
1,0,3,9,2,34.5
1,0,3,9,3,20.0
1,0,4,7,2,1.0
1,0,4,8,2,60.0
1,0,4,9,3,21.0
1,1,0,0,3,23.5
1,1,0,0,4,32.0
1,1,0,0,5,5.0
1,1,0,0,6,1.0
1,1,0,1,3,29.0
1,1,0,1,4,32.0
1,1,0,1,5,13.0
1,1,0,1,6,0.0
1,1,0,1,7,1.0
1,1,0,2,2,15.0
1,1,0,2,3,20.5
1,1,0,2,4,4.0
1,1,0,2,5,0.0
1,1,0,3,2,46.0
1,1,0,3,3,18.333333333333332
1,1,0,3,4,12.0
1,1,0,4,3,30.0
1,1,0,5,2,39.0
1,1,0,5,3,15.0
1,1,0,5,4,0.0
1,1,0,5,5,32.6
1,1,0,5,6,18.0
1,1,0,6,1,52.0
1,1,0,6,3,21.2
1,1,0,6,4,34.0
1,1,0,6,5,8.0
1,1,0,7,2,4.0
1,1,0,7,3,17.941176470588236
1,1,0,7,4,23.2
1,1,0,7,5,34.666666666666664
1,1,0,7,7,21.0
1,1,0,8,2,24.75
1,1,0,8,3,14.733333333333333
1,1,0,8,4,20.5
1,1,0,8,5,12.833333333333334
1,1,0,8,6,21.5
1,1,0,9,2,16.90909090909091
1,1,0,9,3,18.76388888888889
1,1,0,9,4,34.714285714285715
1,1,0,9,5,23.736842105263158
1,1,0,9,6,33.857142857142854
1,1,0,9,7,22.714285714285715
1,1,1,1,3,29.0
1,1,1,5,3,11.2
1,1,1,5,4,43.0
1,1,1,7,2,31.0
1,1,1,7,3,26.5
1,1,1,7,5,26.0
1,1,1,8,2,32.5
1,1,1,8,3,32.333333333333336
1,1,1,9,2,13.625
1,1,1,9,3,24.3
1,1,1,9,4,2.4
1,1,1,9,6,29.5
1,1,1,9,7,49.0
1,1,2,7,5,0.0
1,1,2,7,7,27.0
1,1,2,8,2,27.0
1,1,2,8,3,27.285714285714285
1,1,2,8,4,27.0
1,1,2,9,2,0.0
1,1,2,9,3,21.571428571428573
1,1,2,9,4,21.0
1,1,2,9,5,22.0
1,1,2,9,6,0.0
1,1,2,9,7,27.0
1,1,3,8,3,27.0
1,1,3,8,5,27.0
1,1,3,9,3,0.0
1,1,3,9,6,36.5
1,1,4,8,7,29.0
1,1,4,9,7,51.666666666666664
1,2,0,0,3,21.25
1,2,0,0,4,42.75
1,2,0,0,5,19.666666666666668
1,2,0,1,3,29.857142857142858
1,2,0,1,4,13.0
1,2,0,1,5,8.0
1,2,0,1,6,25.0
1,2,0,2,3,22.0
1,2,0,2,4,47.5
1,2,0,2,5,4.0
1,2,0,2,7,38.0
1,2,0,3,3,6.666666666666667
1,2,0,3,4,24.666666666666668
1,2,0,3,5,8.0
1,2,0,3,6,34.0
1,2,0,3,7,26.0
1,2,0,4,3,49.0
1,2,0,4,4,41.0
1,2,0,4,6,30.0
1,2,0,5,2,30.0
1,2,0,5,3,25.666666666666668
1,2,0,5,4,31.5
1,2,0,5,5,34.75
1,2,0,6,2,11.0
1,2,0,6,3,22.0
1,2,0,6,4,32.5
1,2,0,6,5,21.0
1,2,0,6,6,28.25
1,2,0,7,2,15.666666666666666
1,2,0,7,3,9.666666666666666
1,2,0,7,4,34.166666666666664
1,2,0,7,5,25.333333333333332
1,2,0,8,2,40.666666666666664
1,2,0,8,3,24.043478260869566
1,2,0,8,4,12.0
1,2,0,8,5,12.0
1,2,0,8,6,35.0
1,2,0,8,7,42.0
1,2,0,9,2,27.307692307692307
1,2,0,9,3,23.902439024390244
1,2,0,9,4,20.5
1,2,0,9,5,17.571428571428573
1,2,0,9,6,14.0
1,2,0,9,7,27.0
1,2,1,0,5,26.0
1,2,1,1,6,27.0
1,2,1,3,4,44.0
1,2,1,4,3,52.0
1,2,1,5,2,40.0
1,2,1,5,5,44.0
1,2,1,6,3,42.666666666666664
1,2,1,6,4,19.0
1,2,1,7,3,24.428571428571427
1,2,1,8,2,19.5
1,2,1,8,3,20.5
1,2,1,8,5,53.0
1,2,1,8,7,32.8
1,2,1,9,1,0.0
1,2,1,9,2,10.833333333333334
1,2,1,9,3,14.8125
1,2,1,9,4,28.0
1,2,1,9,6,42.0
1,2,1,9,7,31.0
1,2,2,3,7,55.0
1,2,2,5,6,19.0
1,2,2,5,7,28.0
1,2,2,8,3,29.0
1,2,2,9,2,0.0
1,2,2,9,3,20.666666666666668
1,2,2,9,4,33.0
1,2,3,0,5,17.0
1,2,3,7,7,20.0
1,2,3,8,3,42.0
1,2,4,8,3,8.0
1,2,4,9,3,76.0
1,2,4,9,7,57.0
1,2,7,9,7,50.0
1,2,8,9,7,8.0
1,3,0,0,2,51.0
1,3,0,0,3,21.714285714285715
1,3,0,0,4,20.5
1,3,0,0,5,18.5
1,3,0,1,3,12.5
1,3,0,1,5,5.5
1,3,0,1,7,21.0
1,3,0,2,3,53.0
1,3,0,2,4,11.0
1,3,0,3,3,45.5
1,3,0,3,4,51.0
1,3,0,4,5,56.0
1,3,0,4,6,20.0
1,3,0,5,2,30.5
1,3,0,5,3,31.5
1,3,0,5,5,18.0
1,3,0,5,7,22.0
1,3,0,6,3,5.2
1,3,0,6,4,27.25
1,3,0,6,5,20.0
1,3,0,6,6,20.0
1,3,0,7,3,26.0
1,3,0,7,5,27.375
1,3,0,7,7,9.0
1,3,0,8,2,10.0
1,3,0,8,3,13.142857142857142
1,3,0,8,4,15.5
1,3,0,8,5,38.666666666666664
1,3,0,9,2,21.142857142857142
1,3,0,9,3,19.3
1,3,0,9,4,11.0
1,3,0,9,5,30.333333333333332
1,3,0,9,6,0.0
1,3,0,9,7,10.5
1,3,1,2,3,21.0
1,3,1,3,4,53.0
1,3,1,4,4,54.0
1,3,1,5,2,40.0
1,3,1,5,3,21.0
1,3,1,5,5,9.0
1,3,1,6,3,54.0
1,3,1,6,4,23.0
1,3,1,7,2,21.0
1,3,1,7,3,21.333333333333332
1,3,1,8,2,25.5
1,3,1,8,3,3.6666666666666665
1,3,1,8,4,8.0
1,3,1,8,5,17.5
1,3,1,8,6,20.0
1,3,1,8,7,0.0
1,3,1,8,8,8.0
1,3,1,9,2,24.0
1,3,1,9,3,19.8
1,3,1,9,5,0.0
1,3,1,9,6,30.0
1,3,1,9,7,25.0
1,3,2,2,6,56.0
1,3,2,3,7,42.0
1,3,2,6,2,32.25
1,3,2,6,7,0.0
1,3,2,7,3,25.0
1,3,2,7,7,40.0
1,3,2,8,2,55.0
1,3,2,8,3,51.0
1,3,2,8,4,0.0
1,3,2,9,3,41.333333333333336
1,3,2,9,4,0.0
1,3,3,0,3,13.0
1,3,3,2,6,68.0
1,3,3,6,5,5.0
1,3,3,8,3,26.0
1,3,3,9,2,37.5
1,3,4,1,2,33.0
1,3,4,4,3,20.0
1,3,5,1,3,43.0
1,4,0,0,2,21.0
1,4,0,0,3,24.0
1,4,0,0,4,20.0
1,4,0,0,5,26.666666666666668
1,4,0,0,6,30.0
1,4,0,0,7,22.0
1,4,0,1,2,33.0
1,4,0,1,3,34.0
1,4,0,1,7,38.0
1,4,0,3,4,0.0
1,4,0,4,5,29.0
1,4,0,4,6,35.5
1,4,0,5,3,22.333333333333332
1,4,0,6,2,36.0
1,4,0,6,3,41.0
1,4,0,6,4,33.0
1,4,0,6,5,33.0
1,4,0,7,3,16.166666666666668
1,4,0,7,4,40.666666666666664
1,4,0,8,3,31.75
1,4,0,8,4,32.0
1,4,0,8,7,30.0
1,4,0,9,2,18.666666666666668
1,4,0,9,3,26.571428571428573
1,4,0,9,4,43.25
1,4,0,9,5,41.4
1,4,0,9,7,6.0
1,4,1,0,3,43.0
1,4,1,0,5,40.0
1,4,1,0,6,24.0
1,4,1,0,8,41.0
1,4,1,1,2,51.0
1,4,1,1,3,34.5
1,4,1,1,7,67.0
1,4,1,2,1,0.0
1,4,1,3,3,0.0
1,4,1,4,3,69.0
1,4,1,5,2,40.0
1,4,1,6,3,15.0
1,4,1,7,3,15.0
1,4,1,7,4,25.0
